Identifier (RIC),Company Name,GICS Industry Name,"DIR Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"DIR Inclusion Score
In the last 8 FY
(Σ=Median)",,,,,,,,"EBITDA
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Total Capital
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Employees, Prd/Prd Avg, FY
In the last 8 FY
(Σ=Median)",,,,,,,,"Policy Diversity and Opportunity
In the last 8 FY",,,,,,,,"Training Hours Total
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent Score
(FY0)
(Σ=Median)","Board Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executives Cultural Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executive Members Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Size
In the last 8 FY
(Σ=Median)",,,,,,,,"Women Employees Score
VAIAS.HE,Vaisala Oyj,"Electronic Equipment, Instruments & Components",,,36.00,38.00,,,,,,,0.00,0.00,,,,,"111,295,165.13","100,427,091.04","91,502,568.49","87,192,779.03","79,506,595.02","76,228,056.41","56,656,574.00","74,135,387.05","453,566,621.80","364,186,154.30","336,258,561.64","318,873,201.01","320,713,238.89","283,389,009.71","256,216,166.62","222,406,161.15","2,376.50","2,274.50","2,107.00","1,949.00","1,878.00","1,826.50","1,712.00","1,588.50",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,23.42,24.38,30.49,31.33,,,,,,,,,,,,,86.08,74.38,77.44,96.35,,,,,8,8,8,8,,,,,75.68,75.65,75.86,76.22,,,,
ICP1V.HE,Incap Oyj,"Electronic Equipment, Instruments & Components",34.00,27.84,36.00,,,,,,22.00,33.33,25.00,,,,,,"35,628,947.10","34,775,363.36","45,769,477.74","33,325,375.71","19,460,185.64","12,874,694.53","10,486,053.77","5,987,212.25","169,701,832.49","155,422,511.12","116,213,613.01","84,301,889.37","58,812,896.92","29,455,417.80","24,361,179.92","21,160,974.56","2,143.50","2,275.00","2,670.00","2,212.50","1,368.00",,,,TRUE,TRUE,TRUE,,,,,,"14,085.00",911.00,"1,344.00",,,,,,,,,,,,,,,95.00,93.29,93.98,,,,,,,,,,,,,,6.25,6.71,11.54,,,,,,4,4,4,,,,,,58.26,51.06,56.42,,,,,
TLT1V.HE,Teleste Oyj,Communications Equipment,14.00,15.00,15.98,14.00,,,,,30.00,25.00,20.00,0.00,,,,,"9,515,477.79","7,411,740.04","11,731,592.47","17,779,824.02","14,302,638.01","9,567,742.08","20,789,751.35","9,491,248.91","92,161,714.46","108,902,696.08","118,479,238.01","110,314,212.31","114,877,870.05","118,614,218.77","119,248,325.53","125,477,141.59",,,845.50,852.50,862.50,"1,110.00","1,399.50","1,478.50",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,8.23,8.13,12.80,37.95,,,,,,,,,,,,,20.25,6.25,6.71,17.81,,,,,6,6,6,7,,,,,50.00,56.72,,,,,,
NOKIA.HE,Nokia Oyj,Communications Equipment,52.00,49.00,68.00,64.37,67.00,60.00,57.00,44.00,30.00,33.00,38.00,20.00,12.00,20.00,40.00,33.00,"3,331,607,826.90","3,154,072,815.16","4,282,962,328.77","3,793,511,129.30","3,705,422,569.61","3,550,209,627.16","3,470,501,880.91","4,361,751,898.37","26,397,142,561.34","28,490,393,210.69","28,836,686,643.84","26,287,429,234.02","23,242,550,073.28","23,213,685,178.13","22,012,340,581.70","24,294,334,281.02",,"86,792.50","87,411.50","89,983.00","95,180.50","100,702.50","103,041.50","101,937.50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2,198,274.00","2,523,145.00","2,591,100.00","2,969,274.00","3,220,582.00","3,440,902.00","1,644,176.00","1,916,625.00",70.00,80.00,75.00,77.78,70.00,70.00,80.00,75.00,91.03,92.41,78.75,68.29,87.95,66.67,73.75,41.67,25.93,81.48,78.26,90.38,98.00,92.86,95.00,87.50,83.33,54.43,50.00,63.41,75.00,64.29,41.25,51.67,36.54,10,10,8,9,10,10,10,8,25.34,27.61,29.31,32.00,37.10,39.47,46.88,45.83
ALATI.PA,Actia Group SA,"Electronic Equipment, Instruments & Components",34.00,34.00,35.00,34.50,,,,,20.00,20.00,20.00,20.76,,,,,,"41,959,762.95","36,669,520.55","39,350,430.85","27,763,800.68","50,494,361.37","35,312,872.74","45,581,267.02",,"411,953,031.02","420,438,784.25","445,656,276.29","454,698,339.03","427,014,998.99","388,129,644.92","307,502,309.23",,"3,910.50","3,707.00","3,701.50","3,786.00","3,775.50","3,578.00","3,363.50",TRUE,TRUE,TRUE,TRUE,,,,,"65,472.00","63,393.00","47,905.00","31,535.00",,,,,,,,,,,,,,97.92,98.23,97.46,97.28,,,,,,,,,,,,,94.79,94.19,95.94,91.79,,,,,13,13,13,10,,,,,82.78,81.44,80.06,82.09,,,,
QDT.PA,Quadient SA,"Technology Hardware, Storage & Peripherals",35.00,46.00,42.00,48.20,27.00,,27.00,25.00,27.00,27.00,26.00,25.00,25.00,,23.00,23.00,"273,859,998.27","270,464,025.03","276,445,412.98","298,425,951.77","316,926,797.34","311,162,481.98","353,598,708.32","325,255,033.19","2,050,597,040.75","2,113,964,198.82","2,638,980,937.51","2,750,518,816.98","2,679,512,352.05","2,415,600,466.92","2,529,963,360.86","2,183,839,801.37","4,810.50","4,939.50","5,107.00","5,464.00","5,649.00","5,730.50","5,953.50","6,074.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"173,159.00","60,693.00","36,728.00","63,831.00","114,350.00","122,232.00","127,026.00","110,034.00",25.00,25.00,16.67,25.00,27.27,30.00,22.22,18.18,52.52,28.76,29.43,33.08,33.76,13.32,25.63,61.11,11.57,51.32,73.68,98.39,89.06,86.36,,,,23.66,25.26,35.35,59.14,43.79,32.50,11.76,10.19,12,12,12,12,11,10,9,11,52.77,53.24,49.16,48.58,46.52,42.69,45.65,56.09
VANTI.PA,Vantiva SA,Communications Equipment,33.00,33.00,35.00,31.00,32.00,30.00,41.00,27.00,16.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,,"160,021,189.01","183,005,136.99","258,054,248.23","195,407,914.02","338,542,250.52","285,576,658.41","389,870,562.97",,"604,769,735.03","803,724,315.07","1,556,283,109.38","1,596,238,397.66","1,492,052,104.12","1,482,934,214.15","1,714,230,875.35",,"4,825.00","5,651.50","9,635.00","15,351.50","17,579.50","17,026.00","16,662.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"74,567.00","134,195.00","415,544.00","95,220.00","340,619.00","312,367.00","292,534.00","302,683.00",40.00,37.50,30.00,25.00,38.46,62.50,60.00,54.55,82.08,4.43,3.54,4.82,9.24,19.06,19.61,30.56,35.57,,,,13.64,,,,,45.31,64.90,73.35,86.15,87.19,91.83,98.15,97.42,10,9,10,12,13,8,10,11,27.73,30.65,4.13,4.89,4.79,9.52,9.17,11.61
GGS.BE,Gigaset AG,Communications Equipment,37.00,24.75,22.00,,,,,,18.00,17.65,18.00,,,,,,"32,244,220.89","30,253,734.40","11,627,992.18","31,131,314.04","26,065,464.72","43,820,251.68","32,222,455.85","15,613,427.31","46,486,515.41","30,778,937.32","26,963,849.54","43,531,825.21","44,179,511.88","28,896,006.53","18,757,359.13","19,854,258.75",862.50,880.50,894.00,891.50,909.00,995.50,"1,165.50","1,318.00",TRUE,TRUE,TRUE,,,,,,,,,,,,,,60.00,50.00,,,,,,,94.00,83.99,96.95,68.84,,,,,,,,,,,,,,28.78,29.75,17.81,,,,,,5,6,6,,,,,,47.01,43.97,51.00,,,,,
IS7.DE,InTiCa Systems SE,"Electronic Equipment, Instruments & Components",,,13.00,13.00,,,,,,,0.00,0.00,,,,,"6,899,672.23","7,973,030.82","9,815,155.86","10,467,757.69","7,612,716.63","3,668,914.58","6,663,787.62","5,656,013.46","61,144,648.12","54,676,797.95","51,222,063.07","43,133,854.42","43,309,867.05","47,179,787.14","45,772,003.69","37,281,328.85",804.00,795.50,694.00,622.50,622.50,626.00,597.00,555.50,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,7.35,7.55,9.68,11.59,,,,,,,,,,,,,25.45,28.78,29.75,31.08,,,,,3,3,3,3,,,,,,,,,,,,
BSLG.DE,Basler AG,"Electronic Equipment, Instruments & Components",33.00,38.64,42.00,45.00,45.00,,,,44.00,33.33,33.00,33.00,39.00,,,,"15,337,755.07","48,973,672.95","49,404,315.30","41,930,874.45","33,528,013.81","41,475,135.33","47,892,899.56","19,719,301.93","245,985,675.34","224,434,931.51","200,121,637.91","189,230,581.34","156,245,095.62","120,745,022.48","107,501,109.63","75,831,581.16","1,053.00",955.50,836.00,807.00,708.00,557.00,480.50,447.50,TRUE,TRUE,TRUE,TRUE,TRUE,,,,"17,742.90","4,963.02",,,,,,,,,,,,,,,,62.77,67.20,68.84,64.72,65.23,,,,,,,,,,,,28.78,29.75,17.81,31.22,32.85,,,,6,6,6,6,6,,,,44.12,75.00,75.00,70.83,62.50,,,
